CompanyCode,Type,Market,Code,List,Last trade,Delist,Notes
04609,Note/bond 2020-05-0,HK Main,4581,2017-05-08,,,
04609,Note/bond 2020-09-1,HK Main,5268,2017-09-12,,,
04609,Note/bond 2020-11-1,HK Main,5018,2017-11-16,,,
04609,Note/bond 2020-11-1,HK Main,5017,2017-11-16,,,
04609,Note/bond 2021-03-0,HK Main,4444,2018-03-12,,,
04609,Note/bond 2022-09-1,HK Main,5269,2017-09-12,,,
04609,Note/bond 2023-03-0,HK Main,4445,2018-03-12,,,
04610,PRC ordinary shares listed in HK,HK Main,2016,2016-03-30,,,
04610,A-share,Shang,601916,2019-11-26,,,
04610,Preference,HK Main,4610,2017-03-30,,,
04611,PRC ordinary shares listed in HK,HK Main,3866,2015-12-03,,,
04611,Preference,HK Main,4611,2017-09-20,,,
04612,PRC ordinary shares listed in HK,HK Main,1658,2016-09-28,,,
04612,A-share,Shang,601658,2019-12-10,,,
04612,Preference,HK Main,4612,2017-09-28,,,
04613,PRC ordinary shares listed in HK,HK Main,6196,2015-12-23,,,
04613,A-share,ShenSME,002936,2018-09-19,,,
04613,Preference,HK Main,4613,2017-10-19,,,
04614,PRC ordinary shares listed in HK,HK Main,3968,2006-09-22,,,
04614,A-share,Shang,600036,2002-04-09,,,
04614,Preference,HK Main,4614,2017-10-26,,,
04614,Nil-paid rights 2010-03-2,HK Main,2998,2010-03-17,2010-03-24,2010-03-25,Expired
04614,Nil-paid rights 2013-09-1,HK Main,2939,2013-09-09,2013-09-16,2013-09-17,Expired
04614,Note/bond 2017-04-1,HK Main,85957,2014-04-11,2017-04-05,2017-04-11,Expired
04614,Note/bond 2017-06-1,HK Main,5761,2014-06-13,2017-06-07,2017-06-13,Expired
04614,Note/bond 2018-05-1,HK Main,5515,2015-05-15,2018-05-09,2018-05-15,Expired
04614,Note/bond 2019-08-1,HK Main,5789,2014-08-12,2019-08-07,2019-08-13,Expired
04614,Note/bond 2020-06-1,HK Main,5219,2017-06-13,,,
04614,Note/bond 2021-06-0,HK Main,5108,2018-06-04,,,
04614,Note/bond 2021-09-2,HK Main,5178,2018-09-27,,,
04614,Note/bond 2022-06-1,HK Main,5079,2019-06-20,,,
04614,Note/bond 2023-09-2,HK Main,5179,2018-09-27,,,
04615,PRC ordinary shares listed in HK,HK Main,0416,2015-12-07,,,
04615,Preference,HK Main,4615,2017-10-30,,,
04616,PRC ordinary shares listed in HK,HK Main,1963,2013-11-06,,,
04616,Preference,HK Main,4616,2017-12-21,,,
04617,PRC ordinary shares listed in HK,HK Main,1216,2017-07-19,,,
04617,Preference,HK Main,4617,2018-11-22,,,
04618,PRC ordinary shares listed in HK,HK Main,1551,2017-06-20,,,
04618,Preference,HK Main,4618,2019-06-21,,,
06122,PRC ordinary shares listed in HK,HK Main,6122,2017-01-12,,,
06138,PRC ordinary shares listed in HK,HK Main,6138,2014-03-31,,,
06190,PRC ordinary shares listed in HK,HK Main,6190,2018-07-10,,,
06196,PRC ordinary shares listed in HK,HK Main,6196,2015-12-23,,,
06196,A-share,ShenSME,002936,2018-09-19,,,
06196,Preference,HK Main,4613,2017-10-19,,,
06818,PRC ordinary shares listed in HK,HK Main,6818,2013-12-20,,,
06818,A-share,Shang,601818,2010-08-18,,,
06818,Note/bond 2019-09-1,HK Main,4500,2016-09-19,2019-09-11,2019-09-17,Expired
06818,Note/bond 2020-03-0,HK Main,5392,2017-03-09,,,
06818,Note/bond 2020-06-1,HK Main,5216,2017-06-14,,,
06818,Note/bond 2021-06-1,HK Main,5116,2018-06-14,,,
06818,Note/bond 2021-09-1,HK Main,5171,2018-09-21,,,
06818,Note/bond 2022-06-2,HK Main,5298,2019-06-25,,,
00662,Ordinary shares,HK Main,0103,,1990-12-05,1990-12-11,Merger
00662,Ordinary shares,HK Main,0662,1990-12-18,,,
00945,Ordinary shares,HK Sec,0945,1999-09-27,,,
00945,Ordinary shares,Toronto,MFC,,,,
00966,Ordinary shares,HK Main,0966,2000-06-29,,,
00966,Nil-paid rights 2014-11-1,HK Main,2978,2014-11-05,2014-11-13,2014-11-14,Expired
00966,Note/bond,HK Main,5799,2014-09-11,2019-09-12,2019-09-18,Redeemed
00966,Note/bond 2022-11-2,HK Main,4582,2012-11-22,,,
01299,Ordinary shares,HK Main,1299,2010-10-29,,,
01299,Note/bond 2018-03-1,HK Main,5912,2013-03-14,2018-03-08,2018-03-14,Expired
01299,Note/bond 2019-03-1,HK Main,5707,2014-03-12,2019-03-06,2019-03-12,Expired
01299,Note/bond 2021-09-2,HK Main,5170,2018-09-21,,,
01299,Note/bond 2023-03-1,HK Main,5913,2013-03-14,,,
01299,Note/bond 2025-03-1,HK Main,5879,2015-03-12,,,
01299,Note/bond 2028-04-0,HK Main,4457,2018-04-09,,,
01299,Note/bond 2029-04-0,HK Main,5944,2019-04-10,,,
01299,Note/bond 2044-03-1,HK Main,5708,2014-03-12,,,
01299,Note/bond 2046-03-1,HK Main,5618,2016-03-17,,,
01336,PRC ordinary shares listed in HK,HK Main,1336,2011-12-15,,,
01336,A-share,Shang,601336,2011-12-16,,,
01339,PRC ordinary shares listed in HK,HK Main,1339,2012-12-07,,,
01508,PRC ordinary shares listed in HK,HK Main,1508,2015-10-26,,,
02318,PRC ordinary shares listed in HK,HK Main,2318,2004-06-24,,,
02318,A-share,Shang,601318,2007-03-01,,,
